entity_id,type,origin,deps,lean_status,errors
axm-zfc-choice,axiom,existing,2,lean_fail,unexpected token '\'; expected ')' or term
axm-zfc-extensionality,axiom,existing,0,lean_fail,"Failed to infer type of binder `A`; unexpected token ','; expected command"
axm-zfc-infinity,axiom,existing,2,lean_fail,"unexpected token '\'; expected ')', '_', identifier or term"
axm-zfc-pairing,axiom,existing,1,lean_fail,"Failed to infer type of binder `A`; unexpected token ','; expected command"
axm-zfc-power-set,axiom,existing,0,lean_fail,"typeclass instance problem is stuck
  Membership ?m.1 (?m.14 X)

Note: Lean will not try to resolve "
axm-zfc-regularity,axiom,existing,1,lean_fail,"typeclass instance problem is stuck
  Membership (?m.27 S) ?m.1

Note: Lean will not try to resolve "
axm-zfc-replacement,axiom,existing,1,lean_fail,"unexpected token '!'; expected '(', '_' or identifier"
axm-zfc-specification,axiom,existing,1,lean_fail,unexpected token '\'; expected term
axm-zfc-union,axiom,existing,1,lean_fail,"typeclass instance problem is stuck
  Membership (?m.28 F U) (?m.27 F)

Note: Lean will not try to r"
axm-completeness,axiom,existing,3,lean_fail,"unexpected token '\'; expected ')', '_', identifier or term"
axm-fol-5,axiom,existing,2,lean_fail,"unexpected token '\'; expected ')', '_', identifier or term"
axm-fol-generalization,axiom,existing,2,lean_fail,unexpected token '\'; expected term
axm-fol-modus-ponens,axiom,existing,2,lean_fail,unexpected token '\'; expected term
axm-fol-4,axiom,existing,3,lean_fail,"unexpected token '\'; expected ')', '_', identifier or term"
obj-cartesian-product,object,existing,3,no_content,
obj-closed-interval,object,existing,2,lean_pass,
obj-function,object,existing,3,lean_pass,
obj-natural-numbers,object,existing,1,lean_pass,
obj-closed-interval,object,existing,2,lean_pass,
obj-riemann-integral,object,existing,5,no_content,
obj-partition,object,existing,3,lean_pass,
obj-predicate,object,existing,1,lean_pass,
obj-real-numbers,object,existing,1,lean_pass,
obj-riemann-class,object,existing,3,lean_pass,
obj-sequence,object,existing,3,lean_pass,
obj-set,object,existing,3,no_content,
obj-subset,object,existing,1,no_content,
obj-term,object,existing,0,lean_pass,
obj-wff-fol,object,existing,2,lean_pass,
obj-riemann-integral,operation,existing,5,no_content,
op-riemann-integral,operation,existing,5,no_content,
term-log-conn,terminal,existing,1,no_content,
term-in,terminal,existing,1,no_content,
term-set,terminal,existing,4,no_content,
term-subset,terminal,existing,2,lean_pass,
term-forall,terminal,existing,2,no_content,
thm-riemann-integral-definition,theorem,synthesized,0,no_content,
thm-riemann-integral,theorem,synthesized,0,no_content,
op-riemann-integral,operation,synthesized,5,no_content,
